"","school=MS","sex=M","age","address=R","famsize=GT3","Pstatus=A","Medu","Fedu","Mjob=health","Mjob=other","Mjob=services","Mjob=teacher","Fjob=health","Fjob=other","Fjob=services","Fjob=teacher","reason=home","reason=other","reason=reputation","guardian=father","guardian=mother","traveltime","studytime","failures","schoolsup=yes","famsup=yes","paid=yes","activities=yes","nursery=yes","higher=yes","internet=yes","romantic=yes","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"226",0,0,18,1,1,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8,7.62146540708382
"230",0,0,17,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,12,10,9.29848082324186
"231",0,0,17,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13,13,12.5900325146992
"234",0,1,16,0,1,0,4,4,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13,12.866085521038
"241",0,1,17,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12,11.0548857498991
"242",0,1,17,1,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2,10,11,9.9875240278555
"257",0,0,17,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0,1,0,1,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,14,12,11.7657524402082
"260",0,0,17,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,10,9,7.47520893261065
"263",0,1,18,1,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,1,0,0,5,3,2,1,1,3,1,13,12,11.4017255251096
"268",0,0,18,1,1,0,4,4,0,0,0,1,0,1,0,0,0,0,1,0,1,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,12,10,9.25623314363603
"272",0,0,18,0,1,0,2,3,0,1,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4,15,14,13.4393639572246
"273",0,0,18,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,11,11,10.2152948743814
"276",0,0,17,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6,12,12,11.8962107375096
"283",0,0,18,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,12,12,11.2352284177001
"284",0,0,18,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,8,9,7.80651036954214
"299",0,0,18,0,1,0,4,3,0,1,0,0,0,1,0,0,0,0,1,1,0,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,14,13,12.5566059422898
"302",0,1,17,0,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0,11,11,10.4464787917323
"305",0,1,19,0,1,0,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1,0,1,1,1,1,1,4,4,4,1,1,3,20,15,14,13.9328299709292
"310",0,0,19,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,12,10,9.43913490117403
"314",0,0,19,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,1,0,1,1,0,0,1,1,1,4,2,2,1,2,1,22,13,10,10.2761273581483
"315",0,0,19,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,15,13,13.1130476446817
"318",0,0,18,0,1,0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9,9,10,8.80850253076876
"325",0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0,16,15,14.7736675823946
"326",0,1,18,0,1,0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,9,12,10.4432794390044
"341",0,0,19,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,11,12,10.4933290271113
"344",0,0,17,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,1,1,1,1,3,3,1,1,2,4,0,9,8,6.79949375512037
"347",0,1,18,1,1,0,4,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9,16,15,15.6967667809506
"352",1,1,17,0,1,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2,13,13,13.6962440250185
"356",1,0,18,0,1,0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0,10,9,9.2638226943797
"357",1,0,17,1,1,0,4,4,0,0,0,1,0,0,1,0,0,1,0,1,0,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4,12,13,13.1698158242109
"360",1,0,18,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,0,1,1,1,0,5,3,2,1,1,4,0,18,16,17.4044936290634
"367",1,1,18,0,0,0,4,4,0,0,0,1,0,0,1,0,0,1,0,0,1,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0,13,13,13.2580172702231
"368",1,0,17,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0,7,6,6.18102496162102
"383",1,1,17,0,1,0,2,3,0,1,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2,11,11,10.9544561336769
"386",1,0,18,1,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,1,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2,10,9,9.36734411310193
"389",1,0,18,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0,7,9,8.36835229696176
"394",1,1,18,1,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0,11,12,11.952352473203
